guest_id,data_source,event_activity,event_date,transaction_date,message_key,device_name,campaign_id,delivery_id,utm_source,utm_medium,utm_campaign,has_any_utm,complete_utm_loss_flag,channel_name,rendered_screen_size,visits,touch_count,touchpoint_sequence,is_multi_touch,is_any_touch,is_first_touch,is_last_touch,touchpoint_type,days_between,influenced_flag
EDnvMju3,Campaign Data,Mobile App Click,2025-08-13 13:42:13.0000000,2025-08-14,265,iPhone,35,75,subway_app,push,promo_35,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
KsEECvl9,Campaign Data,Mobile App Click,2025-05-20 12:42:57.0000000,2025-05-21,269,Desktop,2,122,email,push,promo_02,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
QxTChgWQ,Campaign Data,Opt-out,2025-08-27 08:28:24.0000000,2025-08-28,270,iPhone,35,275,email,email,promo_35,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
XR0upt4j,Campaign Data,Open,2025-05-15 05:22:52.0000000,2025-05-17,275,Desktop,9,89,subway_app,email,promo_09,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
5KRUhoVG,Campaign Data,Open,2025-07-23 07:31:06.0000000,2025-07-24,279,iPhone,26,226,email,push,promo_26,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
rBFbyvQR,Campaign Data,Open,2025-02-06 09:26:12.0000000,2025-02-07,280,Desktop,10,10,subway_app,push,promo_10,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
p9cR4uy6,Campaign Data,Email Click,2025-03-03 10:43:38.0000000,2025-03-05,282,Desktop,10,210,subway_app,push,promo_10,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
vXiOqkVC,Campaign Data,Mobile App Click,2025-01-23 16:00:00.0000000,2025-01-28,289,Android,13,13,Undefined,Undefined,Undefined,0,-1,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,5,0
vXiOqkVC,Campaign Data,Open,2025-01-24 15:00:00.0000000,2025-01-28,289,iPhone,24,184,email,email,promo_24,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,4,0
vXiOqkVC,Campaign Data,Open,2025-01-25 13:00:00.0000000,2025-01-28,289,iPhone,31,111,subway_app,push,promo_31,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,3,0
vXiOqkVC,Campaign Data,Email Click,2025-01-26 14:00:00.0000000,2025-01-28,289,Desktop,10,290,Undefined,Undefined,Undefined,0,-1,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
gp4IiyDx,Campaign Data,Open,2025-02-09 18:56:31.0000000,2025-02-11,291,Desktop,38,38,email,push,promo_38,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
R02fP2PW,Campaign Data,Open,2024-11-12 15:00:39.0000000,2024-11-14,292,Desktop,32,72,subway_app,email,promo_32,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
ZAP4Zkhi,Campaign Data,Open,2025-08-23 05:45:42.0000000,2025-09-03,298,Desktop,29,269,subway_app,email,promo_29,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,11,0
aDNKgeIn,Campaign Data,Mobile App Click,2025-06-28 13:49:55.0000000,2025-06-29,303,Desktop,14,94,subway_app,email,promo_14,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
sUt1LLQF,Campaign Data,Open,2024-10-06 15:01:17.0000000,2024-10-07,305,Desktop,15,95,email,email,promo_15,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
csmcYm4c,Campaign Data,Mobile App Click,2025-07-21 09:41:25.0000000,2025-07-30,327,iPhone,29,29,email,push,promo_29,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,9,0
LfRiuhpt,Campaign Data,Open,2025-07-21 13:22:49.0000000,2025-07-23,329,Android,39,239,email,email,promo_39,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
ZMi3qdPE,Campaign Data,Open,2025-05-01 07:27:27.0000000,2025-05-03,330,Android,6,246,subway_app,email,promo_06,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
3JjhcaKM,Campaign Data,Mobile App Click,2025-08-08 12:00:00.0000000,2025-08-20,339,Android,20,260,subway_app,email,promo_20,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,12,0
3JjhcaKM,Campaign Data,Email Click,2025-08-09 09:00:00.0000000,2025-08-20,339,iPhone,33,193,subway_app,push,promo_33,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,11,0
3JjhcaKM,Campaign Data,Open,2025-08-10 21:00:00.0000000,2025-08-20,339,Android,23,143,Undefined,Undefined,Undefined,0,-1,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,10,0
3JjhcaKM,Campaign Data,Open,2025-08-11 18:00:00.0000000,2025-08-20,339,Android,24,104,Undefined,Undefined,Undefined,0,-1,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,9,0
DfQnPOMb,Campaign Data,Open,2025-01-28 16:10:56.0000000,2025-01-29,343,Android,28,268,email,email,promo_28,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
jbcpEN2X,Campaign Data,Open,2025-06-09 10:32:20.0000000,2025-06-11,345,Desktop,3,203,email,email,promo_03,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
BmS6i4Pt,Campaign Data,Open,2024-11-09 08:00:00.0000000,2024-11-23,353,Android,28,188,subway_app,push,promo_28,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,14,0
2SRg3oit,Campaign Data,Open,2024-11-26 03:04:26.0000000,2024-11-28,354,Desktop,10,290,email,push,promo_10,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
PYvK2g5H,Campaign Data,Open,2025-07-08 08:40:57.0000000,2025-07-18,364,Desktop,27,147,subway_app,push,promo_27,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,10,0
RVJ3oVPJ,Web Visit Data,Undefined,2025-05-21 00:00:00.0000000,2025-06-01,367,Desktop,0,0,Web Visits,Web Visits,Web Visits,0,-1,Web Visit,1366x768,3,1,1,0,1,1,1,SingleTouch,11,0
DAdn1Ay5,Campaign Data,Open,2025-07-07 13:20:57.0000000,2025-07-08,378,iPhone,13,173,subway_app,email,promo_13,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
gsA69fh1,Campaign Data,Open,2024-11-05 15:45:14.0000000,2024-11-06,379,Desktop,27,227,email,push,promo_27,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
NIb6zLKQ,Campaign Data,Mobile App Click,2025-07-11 05:40:27.0000000,2025-07-13,398,Desktop,25,105,subway_app,email,promo_25,1,0,iOS applications channel,Undefined,1,2,2,1,1,0,1,Last Touch,2,1
djkWNdRf,Campaign Data,Open,2024-09-21 12:43:43.0000000,2024-09-23,400,iPhone,17,57,subway_app,push,promo_17,1,0,iOS applications channel,Undefined,1,2,1,1,1,1,0,First Touch,2,1
hic8ctFh,Campaign Data,Opt-out,2025-04-19 03:41:52.0000000,2025-04-20,401,Desktop,26,226,email,email,promo_26,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
djkWNdRf,Campaign Data,Email Click,2025-05-31 10:04:58.0000000,2025-06-02,413,iPhone,17,97,email,email,promo_17,1,0,Android applications channel,Undefined,1,2,2,1,1,0,1,Last Touch,2,1
LFXXmU5I,Campaign Data,Opt-out,2025-05-06 13:07:15.0000000,2025-05-08,414,Desktop,29,29,email,push,promo_29,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
2hsfWkrC,Campaign Data,Open,2024-12-12 02:38:50.0000000,2024-12-14,416,Android,35,195,subway_app,push,promo_35,1,0,Android applications channel,Undefined,1,2,1,1,1,1,0,First Touch,2,1
